timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1552401002700,4177,3 /reserve.php,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,239787,2793,5,5,http://www.blazedemo.com/reserve.php,813,0,31
1552401002700,814,3 /reserve.php-0,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,11173,497,5,5,http://www.blazedemo.com/reserve.php,813,0,31
1552401003578,25,3 /reserve.php-1,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,29697,470,5,5,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,19,0,8
1552401003603,529,3 /reserve.php-2,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,28881,455,5,5,http://www.blazedemo.com/assets/bootstrap.min.js,515,0,0
1552401004132,532,3 /reserve.php-3,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,39388,457,5,5,http://www.blazedemo.com/assets/bootstrap-table.js,514,0,0
1552401004665,826,3 /reserve.php-4,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,126673,456,5,5,http://www.blazedemo.com/assets/bootstrap.min.css,765,0,0
1552401006368,509,3 /reserve.php-5,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,3975,458,5,5,http://www.blazedemo.com/assets/bootstrap-table.css,509,0,7
1552401006908,3444,4 /purchase.php,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,239161,2852,8,8,http://www.blazedemo.com/purchase.php,284,0,0
1552401006908,284,4 /purchase.php-0,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,10547,546,8,8,http://www.blazedemo.com/purchase.php,284,0,0
1552401007195,23,4 /purchase.php-1,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,29697,472,8,8,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,14,0,4
1552401007219,529,4 /purchase.php-2,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,28881,457,8,8,http://www.blazedemo.com/assets/bootstrap.min.js,513,0,0
1552401007749,285,4 /purchase.php-3,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,39388,459,8,8,http://www.blazedemo.com/assets/bootstrap-table.js,265,0,0
1552401008035,1776,4 /purchase.php-4,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,126673,458,8,8,http://www.blazedemo.com/assets/bootstrap.min.css,1683,0,0
1552401009813,539,4 /purchase.php-5,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,3975,460,8,8,http://www.blazedemo.com/assets/bootstrap-table.css,538,0,7
1552401006555,4342,3 /reserve.php,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,239787,2793,9,9,http://www.blazedemo.com/reserve.php,772,0,6
1552401006555,773,3 /reserve.php-0,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,11173,497,9,9,http://www.blazedemo.com/reserve.php,772,0,6
1552401007336,24,3 /reserve.php-1,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,29697,470,9,9,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,18,0,5
1552401007361,527,3 /reserve.php-2,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,28881,455,9,9,http://www.blazedemo.com/assets/bootstrap.min.js,513,0,0
1552401007889,525,3 /reserve.php-3,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,39388,457,9,9,http://www.blazedemo.com/assets/bootstrap-table.js,505,0,0
1552401008414,1937,3 /reserve.php-4,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,126673,456,9,9,http://www.blazedemo.com/assets/bootstrap.min.css,791,0,0
1552401010354,543,3 /reserve.php-5,200,OK,jp@gc - Ultimate Thread Group 1-6,text,true,,3975,458,9,9,http://www.blazedemo.com/assets/bootstrap-table.css,543,0,7
1552401005552,5474,3 /reserve.php,200,OK,jp@gc - Ultimate Thread Group 1-7,text,true,,239787,2793,9,9,http://www.blazedemo.com/reserve.php,751,0,7
